city,event_id,event_start,policy_scenario,budget_scale,delay_add_hours,baseline_objective,optimized_objective,lp_recoverable_fraction,static_replay_gain,static_replay_recoverable_fraction,static_fraction_of_base_lp_gain,static_selected_action_count,static_allocated_cost,event_peak_positive_abnormal_deficit,event_total_precip,residual_replay_gain,residual_replay_recoverable_fraction,residual_fraction_of_base_lp_gain,residual_selected_action_count,residual_allocated_cost,residual_value_proxy,residual_minus_static_fraction_of_base_lp_gain,residual_minus_static_recoverable_fraction,residual_relative_to_static_gain
San Antonio,503,2024-07-24 09:00:00,delay_4h,1,4,0.0637757722,0.05523278521,0.1339534857,0.006526386476,0.1023333196,0.7639466718,529,1.236696285,0.01448938751,0.00393701,0.007139948792,0.1119539371,0.8357672559,629,1.236696285,0.1120959068,0.07182058409,0.009620617544,1.094012562
San Antonio,504,2024-07-24 11:00:00,delay_4h,1,4,0.06417011406,0.05593204865,0.1283785378,0.005292707675,0.08247932472,0.6424697317,528,1.220918146,0.01448938751,0.1482940433,0.006502011864,0.1013246113,0.7892644133,674,1.220918146,0.1039767901,0.1467946816,0.01884528658,1.228484977
San Antonio,505,2024-07-25 17:00:00,delay_4h,1,4,0.06805121557,0.05792907057,0.1487430447,0.007838603267,0.1151868222,0.7744014008,536,1.507392202,0.009153059049,0.00393701,0.008451207141,0.1241889226,0.8349225526,671,1.507392202,0.12590292,0.06052115181,0.009002100359,1.078152172
San Antonio,506,2024-07-27 11:00:00,delay_4h,1,4,0.006043985503,0.005108345854,0.1548050783,0.0001622309504,0.02684171732,0.1733904185,49,0.1141558958,0.002520241673,0.01443570333,0.0003335984409,0.05519510938,0.3565458574,101,0.1141558958,0.06500951205,0.1831554389,0.02835339206,2.056318108
San Antonio,507,2024-07-28 05:00:00,delay_4h,1,4,0.1698329055,0.1455310063,0.1430929955,0.0203323914,0.1197199762,0.8366585364,536,3.560331357,0.02986680471,0.0393701,0.02084252223,0.1227236982,0.8576499344,579,3.560331357,0.123000603,0.02099139796,0.003003721977,1.025089564
San Antonio,508,2024-07-28 09:00:00,delay_4h,1,4,0.1624977201,0.1401648984,0.1374346769,0.016725737,0.1029290565,0.7489307559,536,3.263491779,0.02986680471,0.56299243,0.0185279655,0.114019849,0.8296294032,658,3.263491779,0.1144262007,0.08069864727,0.01109079246,1.107751814
San Antonio,509,2024-07-28 16:00:00,delay_4h,1,4,0.05787973292,0.04949538773,0.1448580491,0.006612374707,0.1142433521,0.7886572601,527,1.214792663,0.004199071565,0.01049869333,0.007036539804,0.1215717393,0.8392473881,621,1.214792663,0.1216720655,0.05059012803,0.007328387249,1.064147166
Austin,478,2024-07-06 17:00:00,scarce_and_late,0.5,2,0.1342685328,0.1197952744,0.1077933755,0.00693803387,0.05167282107,0.479369171,195,0.7295715764,0.02623511767,1.27165423,0.007826945838,0.05829322534,0.540786714,226,0.7295715764,0.05844724673,0.06141754305,0.006620404272,1.128121595
Austin,479,2024-07-12 13:00:00,scarce_and_late,0.5,2,0.1559423619,0.135740448,0.1295473124,0.01020325216,0.06542963718,0.5050636403,195,1.013258718,0.02521753832,0.01574804,0.01100529937,0.07057286578,0.5447651865,219,1.013258718,0.07091750132,0.03970154617,0.005143228596,1.078607017
Austin,480,2024-07-12 15:00:00,scarce_and_late,0.5,2,0.1171135872,0.1024962322,0.1248134854,0.007847188225,0.06700493439,0.5368405038,195,0.726455456,0.0164342092,0.05118113,0.007982427679,0.06815970607,0.5460924823,208,0.726455456,0.06854163757,0.009251978453,0.001154771685,1.017234129
